priority_rank,recovery_priority_score,recovery_class,recommended_recovery_track,canonical_game_key,game_name,developer,game_url,in_mini_catalog,missing_rank_rows,rank1_missing_rows,top5_missing_rows,top10_missing_rows,top20_missing_rows,best_missing_rank,first_missing_rank_date,last_missing_rank_date,missing_rank_span_days,ranking_types_with_missing,categories_with_missing,sample_missing_dates,has_any_observed_play_count,first_observed_play_count_date,first_observed_play_count,first_observed_play_count_source,first_observed_after_first_missing_days,first_observed_after_last_missing_days,latest_observed_play_count_date,latest_observed_play_count,missing_rows_on_or_after_first_observation,catalog_first_seen_date,catalog_last_seen_date,catalog_best_rank,catalog_top_n_appearances,catalog_listing_play_count_rows,catalog_max_listing_play_count_observed,metrics_status,metrics_rows,first_metric_date,last_metric_date,no_history_evidence_bucket,page_gap_status,count_source_probe_status,alternate_endpoint_cdx_rows,endpoint_observations,candidates_with_cdx_rows,recovered_count_rows,current_live_metric_status,observed_categories,platform_flags,classification_confidence
11,6880,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/swarmsim/swarm-simulator,Swarm Simulator,swarmsim,https://www.kongregate.com/games/swarmsim/swarm-simulator,yes,43,1,7,32,43,1,2015-02-23,2017-06-24,852,category_top (25); most_played (18),idle (25),2015-02-23; 2015-03-01; 2015-03-13; 2015-03-19; 2015-03-29; 2015-03-31; 2015-04-01; 2015-05-06,yes,2017-09-01,9854193,count_source_probe,921,69,2026-07-04,12600000,0,2015-02-23,2026-07-04,1,194,19,12600000,has_metrics,22,2017-09-01,2024-08-19,,,,,,,,,,,
12,6315,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/epgstudios/n-step-steve-part-1,N Step Steve: Part 1,EPGstudios,https://www.kongregate.com/games/EPGstudios/n-step-steve-part-1,yes,29,0,12,26,29,4,2024-01-17,2025-10-07,629,category_top (29),puzzle (29),2024-01-17; 2024-01-17; 2024-02-14; 2024-03-26; 2024-05-08; 2024-06-29; 2024-07-13; 2024-07-15,yes,2025-11-22,9400,ranked_listing,675,46,2026-07-04,18600,0,2024-01-17,2026-07-04,4,45,15,18600,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
13,5590,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/greensatellite/trimps,Trimps,GreenSatellite,https://www.kongregate.com/games/GreenSatellite/trimps,yes,24,0,12,19,24,3,2015-07-26,2016-09-03,405,category_top (12); most_played (12),idle (12),2015-07-26; 2015-08-09; 2015-08-17; 2015-08-25; 2015-09-01; 2015-09-17; 2015-09-26; 2015-10-03,yes,2016-09-17,4289823,count_source_probe,419,14,2026-07-04,11600000,0,2015-07-26,2026-07-04,3,213,34,11600000,has_metrics,47,2016-09-17,2025-05-13,,,,,,,,,,,
14,5490,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/mousebreaker/sports-heads-football-championship,Sports Heads: Football Championship,Mousebreaker,https://www.kongregate.com/games/Mousebreaker/sports-heads-football-championship,yes,14,0,14,14,14,3,2024-04-01,2025-08-01,487,category_top (14),sports-racing (14),2024-04-01; 2024-05-04; 2024-08-06; 2024-10-04; 2024-10-08; 2024-11-10; 2024-12-01; 2025-02-12,yes,2025-08-19,1510580,count_source_probe,505,18,2026-07-04,1500000,0,2024-04-01,2026-07-04,3,18,4,1500000,has_metrics,2,2025-08-19,2025-08-19,,,,,,,,,,,
15,5415,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/divinegames/realm-grinder,Realm Grinder,DivineGames,https://www.kongregate.com/games/DivineGames/realm-grinder,yes,19,0,12,18,19,4,2015-07-26,2015-11-17,114,most_played (12); category_top (7),idle (7),2015-07-26; 2015-08-09; 2015-08-17; 2015-08-25; 2015-09-01; 2015-09-17; 2015-09-26; 2015-10-03,yes,2015-12-02,6889634,count_source_probe,129,15,2026-07-02,35838850,0,2015-07-26,2024-02-14,1,167,0,,has_metrics,57,2015-12-02,2026-07-02,,,,,,,,,,,
16,5080,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/vasantj/medieval-chronicles-8-part-2,Medieval Chronicles 8 (Part 2),VasantJ,https://www.kongregate.com/games/VasantJ/medieval-chronicles-8-part-2,yes,13,0,13,13,13,5,2020-07-02,2020-07-09,7,browse (10); top_rated (3),,2020-07-02; 2020-07-02; 2020-07-02; 2020-07-02; 2020-07-02; 2020-07-03; 2020-07-04; 2020-07-05,yes,2020-07-16,12860,count_source_probe,14,7,2026-07-04,77300,0,2020-07-02,2026-07-04,3,84,15,77300,has_metrics,17,2020-07-16,2024-01-20,,,,,,,,,,,
17,4475,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/puffballs_united/fleeing-the-complex,Fleeing the Complex,Puffballs_United,https://www.kongregate.com/games/Puffballs_United/fleeing-the-complex,yes,270,0,0,15,270,10,2016-03-05,2018-03-12,737,browse (211); top_rated (59),,2016-03-05; 2016-03-06; 2016-03-07; 2016-03-09; 2016-03-09; 2016-03-11; 2016-03-11; 2016-03-13,yes,2018-05-12,1107903,count_source_probe,798,61,2023-09-23,1594422,0,2016-03-05,2024-02-14,5,724,0,,has_metrics,29,2018-05-12,2023-09-23,,,,,,,,,,,
18,4300,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/vasantj/medieval-chronicles-4,Medieval Chronicles 4,VasantJ,https://www.kongregate.com/games/VasantJ/medieval-chronicles-4,yes,5,2,5,5,5,1,2019-05-06,2019-07-18,73,category_top (5),puzzle (5),2019-05-06; 2019-05-26; 2019-07-17; 2019-07-18; 2019-07-18,yes,2019-10-17,43633,count_source_probe,164,91,2026-07-04,77000,0,2019-05-06,2020-01-02,1,11,0,,has_metrics,10,2019-10-17,2024-02-22,,,,,,,,,,,
19,4170,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/vasantj/medieval-cop-8-deathwish-part-3,Medieval Cop 8 -DeathWish- (Part 3),VasantJ,http://www.kongregate.com/games/VasantJ/medieval-cop-8-deathwish-part-3,yes,12,0,10,11,12,3,2017-08-25,2017-09-16,22,browse (12),,2017-08-25; 2017-08-26; 2017-09-02; 2017-09-03; 2017-09-04; 2017-09-07; 2017-09-09; 2017-09-09,yes,2021-09-02,102235,count_source_probe,1469,1447,2024-02-22,125980,0,2017-08-25,2017-09-16,3,12,0,,has_metrics,10,2021-09-02,2024-02-22,,,,,,,,,,,
20,4170,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/kekgames/unpuzzle-2,Unpuzzle 2,KekGames,https://www.kongregate.com/games/KekGames/unpuzzle-2,yes,7,2,4,6,7,1,2018-03-10,2019-05-26,442,category_top (4); browse (3),puzzle (4),2018-03-10; 2018-03-10; 2018-03-12; 2019-02-01; 2019-02-01; 2019-05-06; 2019-05-26,yes,2019-07-02,379847,count_source_probe,479,37,2024-01-21,584226,0,2018-03-10,2024-02-14,1,43,0,,has_metrics,32,2019-07-02,2024-01-21,,,,,,,,,,,
21,4145,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/vasantj/medieval-cop-9-song-silence-part-1,Medieval Cop 9 -Song & Silence- (Part 1),VasantJ,https://www.kongregate.com/games/VasantJ/medieval-cop-9-song-silence-part-1,yes,12,0,10,11,12,4,2019-05-06,2020-01-02,241,category_top (12),puzzle (11); adventure (1),2019-05-06; 2019-05-26; 2019-07-17; 2019-07-18; 2019-07-18; 2019-10-21; 2019-10-22; 2019-10-27,yes,2020-04-27,52621,count_source_probe,357,116,2026-07-04,78300,0,2019-05-06,2026-07-04,4,73,19,78300,has_metrics,8,2020-04-27,2024-02-22,,,,,,,,,,,
22,3890,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/arcan3artist/the-very-organized-thief,The Very Organized Thief,arcan3artist,http://www.kongregate.com/games/arcan3artist/the-very-organized-thief,yes,44,0,1,28,44,5,2014-11-01,2017-04-08,889,category_top (44),puzzle (44),2014-11-01; 2014-11-01; 2014-11-06; 2014-11-11; 2014-12-02; 2014-12-17; 2014-12-27; 2014-12-30,yes,2017-11-16,1394831,metrics_json,1111,222,2026-07-04,1700000,0,2014-11-01,2025-10-07,5,62,0,,has_metrics,6,2017-11-16,2024-12-18,,,,,,,,,,,
23,3630,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/mrudi/trader-of-stories-chapter-3,Trader of Stories - Chapter 3,mrudi,https://www.kongregate.com/games/mrudi/trader-of-stories-chapter-3,yes,18,0,5,18,18,5,2024-04-01,2026-01-03,642,category_top (18),adventure-rpg (15); adventure (3),2024-04-01; 2024-05-04; 2024-07-05; 2024-07-13; 2024-08-06; 2024-08-23; 2024-09-05; 2024-10-04,yes,2026-06-29,38417,live_metrics_json,819,177,2026-07-04,38500,0,2024-04-01,2026-07-04,5,26,8,38500,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
24,3530,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/bunny_engel/super-hot,Super Hot,Bunny_Engel,http://www.kongregate.com/games/Bunny_Engel/super-hot,yes,48,0,0,27,48,7,2014-11-02,2017-04-15,895,category_top (48),action (48),2014-11-02; 2014-11-02; 2014-11-11; 2014-11-18; 2014-11-25; 2014-12-02; 2014-12-17; 2014-12-27,yes,2017-10-05,545601,count_source_probe,1068,173,2017-10-05,545601,0,2014-11-02,2019-02-01,7,53,0,,has_metrics,2,2017-10-05,2017-10-05,,,,,,,,,,,
25,3085,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/tobeglad/evo-explores,Evo Explores,tobeglad,https://www.kongregate.com/games/tobeglad/evo-explores,yes,16,0,4,15,16,4,2016-09-05,2019-05-26,993,category_top (16),puzzle (16),2016-09-05; 2016-11-07; 2016-11-08; 2016-11-14; 2017-01-05; 2017-01-12; 2017-01-14; 2017-03-04,yes,2019-07-02,354416,count_source_probe,1030,37,2026-07-04,443900,0,2016-09-05,2026-07-04,4,68,15,443900,has_metrics,24,2019-07-02,2025-03-02,,,,,,,,,,,
26,3015,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/vasantj/medieval-chronicles-9,Medieval Chronicles 9,VasantJ,https://www.kongregate.com/games/VasantJ/medieval-chronicles-9,yes,24,0,0,24,24,6,2020-06-07,2023-12-01,1272,category_top (24),puzzle (24),2020-06-07; 2020-08-14; 2020-08-29; 2020-10-30; 2020-11-06; 2020-12-01; 2021-03-06; 2021-03-25,yes,2024-01-17,27745,count_source_probe,1319,47,2026-07-04,52100,0,2020-06-07,2026-07-04,6,50,15,52100,has_metrics,4,2024-01-17,2024-01-20,,,,,,,,,,,
27,2610,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/brokenbulb/miscrits,Miscrits,BrokenBulb,http://www.kongregate.com/games/BrokenBulb/miscrits,yes,6,0,6,6,6,3,2014-12-27,2015-04-03,97,category_top (6),adventure (6),2014-12-27; 2014-12-30; 2015-02-15; 2015-02-15; 2015-04-01; 2015-04-03,yes,2019-02-09,1817399,count_source_probe,1505,1408,2019-02-09,1817399,0,2014-12-27,2015-04-03,3,6,0,,has_metrics,2,2019-02-09,2019-02-09,,,,,,,,,,,
28,2585,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/roman8/drift-race-in-the-open-world,Drift Race in the open world,roman8,https://www.kongregate.com/games/roman8/drift-race-in-the-open-world,yes,16,0,2,15,15,4,2024-01-21,2025-10-07,625,category_top (15); homepage_module (1),sports-racing (15),2024-01-21; 2024-04-01; 2024-05-04; 2024-08-06; 2024-10-04; 2024-10-08; 2024-11-10; 2024-12-01,yes,2026-06-29,6408,live_metrics_json,890,265,2026-06-29,6408,0,2024-04-01,2025-10-07,4,15,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
29,2440,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/soulgame/swords-and-souls,Swords and Souls,SoulGame,https://www.kongregate.com/games/SoulGame/swords-and-souls,yes,4,1,2,4,4,1,2015-10-29,2015-11-17,19,most_played (3); browse (1),,2015-10-29; 2015-11-08; 2015-11-14; 2015-11-17,yes,2015-11-22,1362561,count_source_probe,24,5,2024-01-29,13107038,0,2015-10-29,2024-02-14,1,904,0,,has_metrics,59,2015-11-22,2024-01-29,,,,,,,,,,,
30,2355,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/disruptorbeam/game-of-thrones-ascent,Game of Thrones Ascent,DisruptorBeam,http://www.kongregate.com/games/DisruptorBeam/game-of-thrones-ascent,yes,28,0,0,17,28,6,2014-11-10,2016-06-01,569,most_played (28),,2014-11-10; 2014-12-17; 2014-12-27; 2015-01-03; 2015-01-18; 2015-01-29; 2015-02-07; 2015-02-07,yes,2026-07-02,34612895,live_metrics_json,4252,3683,2026-07-02,34612895,0,2014-11-10,2016-06-01,6,28,0,,has_metrics,1,2026-07-02,2026-07-02,,,,,,,,,,,
31,2330,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/studiocime/mu-complex-episode-two,Mu Complex : Episode Two,StudioCime,http://www.kongregate.com/games/StudioCime/mu-complex-episode-two,yes,3,1,2,3,3,1,2015-05-12,2015-10-03,144,top_rated (2); category_top (1),puzzle (1),2015-05-12; 2015-05-15; 2015-10-03,yes,2020-03-27,293193,count_source_probe,1781,1637,2020-03-27,293193,0,2015-05-12,2015-10-03,1,3,0,,has_metrics,2,2020-03-27,2020-03-27,,,,,,,,,,,
32,2300,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/oogzyent/footie-fight,Footie Fight,oogzyent,https://www.kongregate.com/games/oogzyent/footie-fight,yes,15,0,1,15,15,5,2024-04-01,2025-10-07,554,category_top (15),sports-racing (15),2024-04-01; 2024-05-04; 2024-08-06; 2024-10-04; 2024-10-08; 2024-11-10; 2024-12-01; 2025-02-12,yes,2026-06-29,61847,live_metrics_json,819,265,2026-06-29,61847,0,2024-04-01,2025-10-07,5,15,0,,has_metrics,1,2026-06-29,2026-06-29,,,,,,,,,,,
33,2255,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/vasantj/medieval-cop-dregg-me-to-hell,Medieval Cop - Dregg Me To Hell,VasantJ,http://www.kongregate.com/games/VasantJ/medieval-cop-dregg-me-to-hell,yes,8,0,5,5,8,4,2016-11-18,2016-12-05,17,browse (4); category_top (3); top_rated (1),adventure (3),2016-11-18; 2016-11-18; 2016-11-18; 2016-11-21; 2016-11-21; 2016-11-29; 2016-11-29; 2016-12-05,yes,2023-08-21,144385,count_source_probe,2467,2450,2024-02-22,147594,0,2016-11-18,2016-12-05,4,8,0,,has_metrics,7,2023-08-21,2024-02-22,,,,,,,,,,,
34,2220,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/emperormason/the-gates-of-heaven,The Gates of Heaven,EmperorMason,http://www.kongregate.com/games/EmperorMason/the-gates-of-heaven,yes,2,1,2,2,2,1,2014-09-26,2014-09-26,0,newest (2),,2014-09-26; 2014-09-26,yes,2026-06-30,306,live_metrics_json,4295,4295,2026-06-30,306,0,2014-09-26,2014-09-26,1,2,0,,has_metrics,1,2026-06-30,2026-06-30,,,,,,,,,,,
35,2200,earlier_history_needed,"Search earlier game-page, metrics, developer/account-list, and category/list captures before the first observed play count.",www.kongregate.com/games/masasgames/escape-game-computer-office-escape,Escape Game - Computer Office Escape,masasgames,https://www.kongregate.com/games/masasgames/escape-game-computer-office-escape,yes,5,1,1,4,5,1,2020-06-02,2020-06-20,18,browse (4); category_top (1),puzzle (1),2020-06-02; 2020-06-06; 2020-06-07; 2020-06-10; 2020-06-20,yes,2020-06-21,112505,count_source_probe,19,1,2026-07-04,498500,0,2020-06-02,2026-07-04,1,159,15,498500,has_metrics,46,2020-06-21,2025-10-03,,,,,,,,,,,
36,2160,no_count_no_page_cdx,"Try broader URL variants, developer/account lists, search/category pages, or external evidence; checked game-page variants have no usable CDX rows.",www.kongregate.com/games/sstudioss/last-warrior,Last Warrior,sstudioss,http://www.kongregate.com/games/sstudioss/last-warrior,yes,1,1,1,1,1,1,2014-09-02,2014-09-02,0,newest (1),,2014-09-02,no,,,,,,,,0,2014-09-02,2014-09-02,1,1,0,,no_cdx,0,,,no_game_page_or_endpoint_archives,no_page_cdx_rows,no_archived_endpoint_rows_observed,0,23,0,0,live_metrics_failed_http_404,,,
37,2160,no_count_no_page_cdx,"Try broader URL variants, developer/account lists, search/category pages, or external evidence; checked game-page variants have no usable CDX rows.",www.kongregate.com/games/listenme02/spacewarrior,SpaceWarrior,listenme02,http://www.kongregate.com/games/listenme02/spacewarrior,yes,1,1,1,1,1,1,2014-09-12,2014-09-12,0,newest (1),,2014-09-12,no,,,,,,,,0,2014-09-12,2014-09-12,1,1,0,,no_cdx,0,,,no_game_page_or_endpoint_archives,no_page_cdx_rows,no_archived_endpoint_rows_observed,0,15,0,0,live_metrics_failed_http_404,,,
38,2160,no_count_no_page_cdx,"Try broader URL variants, developer/account lists, search/category pages, or external evidence; checked game-page variants have no usable CDX rows.",www.kongregate.com/games/creeptasticman/the-funniest-game-ever,The Funniest Game Ever,Creeptasticman,http://www.kongregate.com/games/Creeptasticman/the-funniest-game-ever,yes,1,1,1,1,1,1,2014-10-24,2014-10-24,0,newest (1),,2014-10-24,no,,,,,,,,0,2014-10-24,2014-10-24,1,1,0,,no_cdx,0,,,no_game_page_cdx_alt_archives_no_count,no_page_cdx_rows,archived_endpoint_hit_no_count,72,29,9,0,live_metrics_failed_http_404,,,
39,2160,no_count_no_page_cdx,"Try broader URL variants, developer/account lists, search/category pages, or external evidence; checked game-page variants have no usable CDX rows.",www.kongregate.com/games/ghostthefi/the-saga-of-the-wind-mobiles,The Saga Of The Wind Mobiles,GhostTheFi,http://www.kongregate.com/games/GhostTheFi/the-saga-of-the-wind-mobiles,yes,1,1,1,1,1,1,2016-06-29,2016-06-29,0,newest (1),,2016-06-29,no,,,,,,,,0,2016-06-29,2016-06-29,1,1,0,,no_cdx,0,,,no_game_page_or_endpoint_archives,no_page_cdx_rows,no_archived_endpoint_rows_observed,0,20,0,0,live_metrics_failed_http_404,,,
40,2160,no_count_no_page_cdx,"Try broader URL variants, developer/account lists, search/category pages, or external evidence; checked game-page variants have no usable CDX rows.",www.kongregate.com/games/w3sts1de/as3q32-gmail-com,as3q32@gmail.com,W3STS1DE,http://www.kongregate.com/games/W3STS1DE/as3q32-gmail-com,yes,1,1,1,1,1,1,2016-07-07,2016-07-07,0,newest (1),,2016-07-07,no,,,,,,,,0,2016-07-07,2016-07-07,1,1,0,,no_cdx,0,,,no_game_page_or_endpoint_archives,no_page_cdx_rows,no_archived_endpoint_rows_observed,0,28,0,0,live_metrics_failed_http_404,,,
41,2160,no_count_dynamic_placeholder,Broaden alternate source shapes; archived game pages defer counts to unarchived metrics.json endpoints.,www.kongregate.com/games/linhvo1611/make-me-10,Make Me 10,LinhVo1611,http://www.kongregate.com/games/LinhVo1611/make-me-10,yes,1,1,1,1,1,1,2017-05-16,2017-05-16,0,newest (1),,2017-05-16,no,,,,,,,,0,2017-05-16,2017-05-16,1,1,0,,no_cdx,0,,,dynamic_placeholder_endpoint_archives_no_count,dynamic_metrics_placeholder,archived_endpoint_hit_no_count,99,30,15,0,live_metrics_failed_http_404,,,
