catalog_index,game_name,game_url,canonical_game_key,kongregate_game_ids,status,priority_score,best_rank,top_n_appearances,listing_play_count_rows,max_listing_play_count_observed,needs_game_page_history,metrics_rows,first_metric_date,last_metric_date,cdx_rows,valid_cached_captures,known_failed_captures,fresh_pending_captures,missing_cdx_cache_files,failure_errors,first_seen_date,last_seen_date
395,Finger Spinner Online,http://www.kongregate.com/games/mafagames/finger-spinner-online,www.kongregate.com/games/mafagames/finger-spinner-online,282265,cdx_cache_missing,3251,2,1,0,,yes,0,,,0,0,0,0,5,,2017-06-16,2017-06-16
413,Horse Racing,http://www.kongregate.com/games/mafagames/horse-racing,www.kongregate.com/games/mafagames/horse-racing,281369,cdx_cache_missing,3251,2,1,0,,yes,0,,,0,0,0,0,5,,2017-05-26,2017-05-26
420,jhghj,http://www.kongregate.com/games/Ladybugluver/jhghj,www.kongregate.com/games/ladybugluver/jhghj,265087,cdx_cache_missing,3251,2,1,0,,yes,0,,,0,0,0,0,5,,2016-07-07,2016-07-07
425,Kns run,http://www.kongregate.com/games/hikkigamer/kns-run,www.kongregate.com/games/hikkigamer/kns-run,219951,cdx_cache_missing,3251,2,1,0,,yes,0,,,0,0,0,0,5,,2014-09-20,2014-09-20
433,Mini Jumper,http://www.kongregate.com/games/mafagames/mini-jumper,www.kongregate.com/games/mafagames/mini-jumper,258817,cdx_cache_missing,3251,2,1,0,,yes,0,,,0,0,0,0,5,,2016-03-16,2016-03-16
441,Nowere Safe 3,http://www.kongregate.com/games/LexZ1/nowere-safe-3,www.kongregate.com/games/lexz1/nowere-safe-3,223321,cdx_cache_missing,3251,2,1,0,,yes,0,,,0,0,0,0,5,,2014-10-29,2014-10-29
448,path of the wingman,http://www.kongregate.com/games/fckn/path-of-the-wingman,www.kongregate.com/games/fckn/path-of-the-wingman,221942,cdx_cache_missing,3251,2,1,0,,yes,0,,,0,0,0,0,5,,2014-10-24,2014-10-24
452,Raze 3,http://www.kongregate.com/games/CoralCnora/raze-3,www.kongregate.com/games/coralcnora/raze-3,271124,cdx_cache_missing,3251,2,1,0,,yes,0,,,0,0,0,0,5,,2017-09-30,2017-09-30
464,Sky Knight,http://www.kongregate.com/games/mafagames/sky-knight,www.kongregate.com/games/mafagames/sky-knight,280875,cdx_cache_missing,3251,2,1,0,,yes,0,,,0,0,0,0,5,,2017-05-16,2017-05-16
470,StormFall,http://www.kongregate.com/games/playman2/stormfall,www.kongregate.com/games/playman2/stormfall,219314,cdx_cache_missing,3251,2,1,0,,yes,0,,,0,0,0,0,5,,2014-09-05,2014-09-05
477,Talking Ginger Paw Caring,http://www.kongregate.com/games/wowsomegames/talking-ginger-paw-caring,www.kongregate.com/games/wowsomegames/talking-ginger-paw-caring,218739,cdx_cache_missing,3251,2,1,0,,yes,0,,,0,0,0,0,5,,2014-08-29,2014-08-29
553,A Kongergate Special,http://www.kongregate.com/games/NickJ66/a-kongergate-special,www.kongregate.com/games/nickj66/a-kongergate-special,221415,cdx_cache_missing,3151,3,1,0,,yes,0,,,0,0,0,0,5,,2014-10-03,2014-10-03
560,as3 Shootorial #1,http://www.kongregate.com/games/Max_Raze/as3-shootorial-1,www.kongregate.com/games/max_raze/as3-shootorial-1,285281,cdx_cache_missing,3151,3,1,0,,yes,0,,,0,0,0,0,5,,2017-08-25,2017-08-25
561,AstroLords,http://www.kongregate.com/games/rub_en02/astrolords,www.kongregate.com/games/rub_en02/astrolords,219313,cdx_cache_missing,3151,3,1,0,,yes,0,,,0,0,0,0,5,,2014-09-05,2014-09-05
565,ATV Ride 2016,http://www.kongregate.com/games/rheyank/atv-ride-2016,www.kongregate.com/games/rheyank/atv-ride-2016,267323,cdx_cache_missing,3151,3,1,0,,yes,0,,,0,0,0,0,5,,2016-08-20,2016-08-20
576,Boat Rush,http://www.kongregate.com/games/mafagames/boat-rush,www.kongregate.com/games/mafagames/boat-rush,280874,cdx_cache_missing,3151,3,1,0,,yes,0,,,0,0,0,0,5,,2017-05-16,2017-05-16
589,CBS:Escape from the Mall,http://www.kongregate.com/games/cFreak19/cbs-escape-from-the-mall,www.kongregate.com/games/cfreak19/cbs-escape-from-the-mall,234656,cdx_cache_missing,3151,3,1,0,,yes,0,,,0,0,0,0,5,,2021-11-12,2021-11-12
597,Defense Math,http://www.kongregate.com/games/mafagames/defense-math,www.kongregate.com/games/mafagames/defense-math,282264,cdx_cache_missing,3151,3,1,0,,yes,0,,,0,0,0,0,5,,2017-06-16,2017-06-16
601,Dot Snap Battle,http://www.kongregate.com/games/odiusfly/dot-snap-battle,www.kongregate.com/games/odiusfly/dot-snap-battle,286239,cdx_cache_missing,3151,3,1,0,,yes,0,,,0,0,0,0,5,,2017-09-20,2017-09-20
661,Pokemon Kill 4,http://www.kongregate.com/games/NigelBoydMartin/pokemon-kill-4,www.kongregate.com/games/nigelboydmartin/pokemon-kill-4,221828,cdx_cache_missing,3151,3,1,0,,yes,0,,,0,0,0,0,5,,2014-10-09,2014-10-09
668,Register Simulator,http://www.kongregate.com/games/cheffplayer2/register-simulator,www.kongregate.com/games/cheffplayer2/register-simulator,220427,cdx_cache_missing,3151,3,1,0,,yes,0,,,0,0,0,0,5,,2014-09-20,2014-09-20
675,Session Key Viewer,http://www.kongregate.com/games/disposableernst/session-key-viewer,www.kongregate.com/games/disposableernst/session-key-viewer,247680,cdx_cache_missing,3151,3,1,0,,yes,0,,,0,0,0,0,5,,2015-09-15,2015-09-15
690,SUV Car Cartoon Puzzle,http://www.kongregate.com/games/natalibt/suv-car-cartoon-puzzle,www.kongregate.com/games/natalibt/suv-car-cartoon-puzzle,270174,cdx_cache_missing,3151,3,1,0,,yes,0,,,0,0,0,0,5,,2016-10-10,2016-10-10
703,Vape Naysh Vs The Memes Beta1,http://www.kongregate.com/games/Life_Glug/vape-naysh-vs-the-memes-beta1,www.kongregate.com/games/life_glug/vape-naysh-vs-the-memes-beta1,263238,cdx_cache_missing,3151,3,1,0,,yes,0,,,0,0,0,0,5,,2016-06-05,2016-06-05
772,1p.Story: Death,http://www.kongregate.com/games/isketchworks/1p-story-death,www.kongregate.com/games/isketchworks/1p-story-death,258811,cdx_cache_missing,3051,4,1,0,,yes,0,,,0,0,0,0,5,,2016-03-16,2016-03-16
789,Balls Vs Blocks Online,http://www.kongregate.com/games/mafagames/balls-vs-blocks-online,www.kongregate.com/games/mafagames/balls-vs-blocks-online,282263,cdx_cache_missing,3051,4,1,0,,yes,0,,,0,0,0,0,5,,2017-06-16,2017-06-16
796,BMW M5 E34,http://www.kongregate.com/games/natalibt/bmw-m5-e34,www.kongregate.com/games/natalibt/bmw-m5-e34,261561,cdx_cache_missing,3051,4,1,0,,yes,0,,,0,0,0,0,5,,2016-05-06,2016-05-06
817,DoodiaMan Find Wife,http://www.kongregate.com/games/feicaigames/doodiaman-find-wife,www.kongregate.com/games/feicaigames/doodiaman-find-wife,254644,cdx_cache_missing,3051,4,1,0,,yes,0,,,0,0,0,0,5,,2016-01-02,2016-01-02
